28/04/2014 18:57:45:370 (4.1, 1.0, -10.2) (0.0, -0.7, 0.0, 0.7) (0.0, -0.7, 0.0, 0.7) 1 1 500
28/04/2014 18:57:45:378 (4.1, 1.0, -10.2) (0.0, -0.7, 0.0, 0.7) (0.0, -0.7, 0.0, 0.7) 1 1 263.1579
28/04/2014 18:57:45:605 (4.1, 1.0, -10.2) (0.0, -0.7, 0.0, 0.7) (0.0, -0.7, 0.0, 0.7) 1 1 38.5813
28/04/2014 18:57:45:630 (4.1, 1.0, -10.2) (0.0, -0.7, 0.0, 0.7) (0.0, -0.7, 0.0, 0.7) 1 1 38.55557
28/04/2014 18:57:45:646 (4.1, 1.0, -10.2) (0.0, -0.7, 0.0, 0.7) (0.0, -0.7, 0.0, 0.7) 1 1 40.00055
28/04/2014 18:57:45:663 (4.1, 1.0, -10.2) (0.0, -0.7, 0.0, 0.7) (0.0, -0.7, 0.0, 0.7) 1 1 41.39694
28/04/2014 18:57:45:679 (4.1, 1.0, -10.2) (0.0, -0.7, 0.0, 0.7) (0.0, -0.7, 0.0, 0.7) 1 1 42.73976
28/04/2014 18:57:45:696 (4.1, 1.0, -10.2) (0.0, -0.7, 0.0, 0.7) (0.0, -0.7, 0.0, 0.7) 1 1 44.02511
28/04/2014 18:57:45:712 (4.1, 1.0, -10.2) (0.0, -0.7, 0.0, 0.7) (0.0, -0.7, 0.0, 0.7) 1 1 45.24977
28/04/2014 18:57:45:729 (4.1, 1.0, -10.2) (0.0, -0.7, 0.0, 0.7) (0.0, -0.7, 0.0, 0.7) 1 1 46.41171
28/04/2014 18:57:45:746 (4.1, 1.0, -10.2) (0.0, -0.7, 0.0, 0.7) (0.0, -0.7, 0.0, 0.7) 1 1 47.50979
28/04/2014 18:57:45:762 (4.1, 1.0, -10.2) (0.0, -0.7, 0.0, 0.7) (0.0, -0.7, 0.0, 0.7) 1 1 48.54346
28/04/2014 18:57:45:779 (4.1, 1.0, -10.2) (0.0, -0.7, 0.0, 0.7) (0.0, -0.7, 0.0, 0.7) 1 1 49.51276
28/04/2014 18:57:45:795 (4.1, 1.0, -10.2) (0.0, -0.7, 0.0, 0.7) (0.0, -0.7, 0.0, 0.7) 1 1 50.41906
28/04/2014 18:57:45:812 (4.1, 1.0, -10.2) (0.0, -0.7, 0.0, 0.7) (0.0, -0.7, 0.0, 0.7) 1 1 51.26345
28/04/2014 18:57:45:828 (4.1, 1.0, -10.2) (0.0, -0.7, 0.0, 0.7) (0.0, -0.7, 0.0, 0.7) 1 1 52.04796
